id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12351,Sydney City & Harbour at the door,17061,Stuart,,Sydney,-33.86515254975741,151.19189588780822,Private room,100,2,493,2018-11-21,4.83,2,187
14250,Manly Harbour House,55948,Heidi,,Manly,-33.80092902849084,151.26172219417867,Entire home/apt,471,5,1,2016-01-02,0.03,2,321
15253,Stunning Penthouse Apartment In Heart Of The City,59850,Morag,,Sydney,-33.8804548565453,151.2165408022156,Private room,109,2,300,2018-11-16,3.63,2,316
20865,3 BED HOUSE + 1 BED STUDIO Balmain,64282,Fiona,,Leichhardt,-33.859071608754554,151.1727532312573,Entire home/apt,450,7,15,2018-01-07,0.18,1,69
26174,"COZY PRIVATE ROOM, GREAT LOCATION!",110561,Amanda,,Woollahra,-33.88908693069203,151.25940396422783,Private room,62,1,42,2018-11-23,0.45,1,140
38073,Modern apartment with pool and wifi,103476,Connie,,North Sydney,-33.83442928107934,151.20887489934913,Entire home/apt,159,2,63,2017-09-16,0.64,1,321
39348,Large Bondi studio,168828,Marie,,Waverley,-33.884820616137695,151.2829452317733,Entire home/apt,84,5,6,2018-11-17,0.77,2,194
44545,Sunny Darlinghurst Warehouse Apartment,112237,Atari,,Sydney,-33.879956287537105,151.21552806307545,Entire home/apt,130,5,53,2018-11-05,0.54,1,1
45440,Rubys @ Bondi Beach! Huge beachhouse on the beach!,201611,Deborah,,Waverley,-33.88908663649135,151.27450580899102,Entire home/apt,700,3,54,2018-10-23,0.88,10,301
56842,Beach Breeze 2 BDR + Double balcony+ LOCATION !,113874,Bondi Beach Holiday Homes,,Waverley,-33.88963272639301,151.28355311559653,Entire home/apt,226,2,17,2018-11-25,0.24,53,0
57183,BONDI BEACHFRONT CENTRAL LOCATION,1623151,Susan,,Waverley,-33.89184605741195,151.27308432718854,Entire home/apt,130,4,121,2018-10-07,1.25,1,54
58506,"Studio Yindi @ Mosman, Sydney",279955,John,,Mosman,-33.819268018504744,151.23652489827802,Entire home/apt,140,2,229,2018-12-06,2.37,1,187
58954,Christmas New Year - eastern Sydney,282630,Peter,,Waverley,-33.89176309732366,151.24259344933128,Entire home/apt,1073,7,0,,,1,365
59297,4-bedroom home Erskineville Sydney Central,284711,Isabel,,Sydney,-33.90198845519567,151.1930471220522,Entire home/apt,379,5,6,2018-01-09,0.07,2,32
61721,"2br Eclectic Stylish Home, 2 mins to Bondi Beach",299170,Eilish,,Waverley,-33.88890366748907,151.27725736421309,Entire home/apt,245,4,23,2018-10-31,0.25,1,124
63795,Tree Tops Retreat Avalon Beach,311659,Tracey,,Pittwater,-33.626121460942144,151.33151088583853,Entire home/apt,150,2,53,2018-11-17,0.56,1,341
65126,Large funky apartment in Bondi.,318390,Nicolette,,Waverley,-33.88568973690269,151.2688648641491,Entire home/apt,199,5,11,2018-04-21,0.12,1,43
65635,Russell Hutchinson - 1st Bedroom,320878,Russell,,Lane Cove,-33.81078886501225,151.16072058940597,Private room,55,1,156,2018-10-27,1.62,8,17
65857,Private Courtyard Room with Bathroom,322045,Jennifer,,Sydney,-33.90396448606918,151.1912367803082,Private room,75,2,97,2018-11-30,2.83,1,50
66009,Comfort & space in the heart of Paddington,322887,Belinda,,Woollahra,-33.88327145959429,151.22724714449015,Private room,100,3,1,2014-02-28,0.02,1,0
66158,Furnished Studio Historic Art Deco,323771,Maxi,,Sydney,-33.872475590501686,151.22814315764805,Entire home/apt,75,7,15,2017-04-30,0.16,1,92
67112,Quiet base to explore Sydney,160705,Liz,,Marrickville,-33.91499570251997,151.14029958382784,Private room,75,3,22,2015-04-17,0.23,1,360
67295,Luxury Villa BrandNew Pooltable Gym,331782,Tanmaya,,The Hills Shire,-33.704437513886525,150.94217090657241,Private room,90,1,1,2016-04-02,0.03,1,365
68999,A little bit of Sydney - Australia,333581,Brian,,Hornsby,-33.72990442358466,151.05138024963244,Private room,89,2,43,2018-11-18,0.47,1,270
69121,"northern beaches, narrabeen, sydney",345292,Pamela,,Warringah,-33.71249285572637,151.29841971469617,Entire home/apt,109,5,0,,,1,309
71866,A Jewel Amongst Greenery,292913,Maz,,Randwick,-33.9091747695307,151.25230730937378,Entire home/apt,251,3,2,2018-11-28,0.03,9,225
73628,Sunny Room in Art Deco,385108,Dan,,Waverley,-33.88671950380456,151.26655709000292,Private room,65,3,8,2018-03-17,0.09,2,0
73639,Sydney City Home with Harbour Views,17061,Stuart,,Sydney,-33.865854411080505,151.1923329525697,Private room,89,2,367,2018-11-27,3.90,2,221
73802,Sydney Waterfront - 15 min to City,386391,Michael,,Randwick,-33.91481638109155,151.26011634311593,Entire home/apt,1690,14,13,2016-06-13,0.17,1,28
75702,Self-contained Haven by the sea at Malabar,402292,Helen,,Randwick,-33.964720862337174,151.24796691953108,Entire home/apt,120,1,210,2018-11-17,2.25,1,17
77792,"Beach House, Coogee, Sydney",417701,Chantal,,Randwick,-33.918004643600916,151.24371641119757,Private room,84,3,83,2018-02-16,0.88,1,309
79024,Harbour views. Massive apartment,425305,Dan,,Sydney,-33.873803247785375,151.22362069263565,Entire home/apt,329,2,269,2018-11-25,2.92,1,226
79624,Private Room in Quaint House,429171,Jude,,North Sydney,-33.83096185311723,151.21532126153718,Private room,84,2,79,2018-11-28,0.84,2,353
79912,Bronte Tranquil City/Beach Living.,431242,Karen,,Waverley,-33.90641713890561,151.26698594291383,Entire home/apt,295,14,16,2018-01-04,0.17,1,244
80470,Brand newly renovated 2Bed2Bath,434914,James,,North Sydney,-33.829992138068306,151.2183109268927,Entire home/apt,400,6,6,2012-01-06,0.06,1,364
82952,North Sydney. Tranquil Luxury. ,451677,Anita,,North Sydney,-33.831893206632685,151.19074743409345,Private room,55,14,6,2015-12-20,0.07,2,365
85331,Room in Sydney Modern Apartment. MIRANDA 2228.,467372,Glenn,,Sutherland Shire,-34.03599449393447,151.10454217165412,Private room,84,1,161,2018-11-23,1.73,1,324
86853,Bondi Beach Break 2 Bedroom Apt,476047,Ann,,Waverley,-33.89515752126647,151.26841851486427,Entire home/apt,203,1,92,2018-12-03,1.23,1,329
87709,Room + own Bathroom in Family Home!,480315,Marianne,,Ku-Ring-Gai,-33.70142739315959,151.12513941731814,Private room,71,21,18,2017-11-15,0.20,1,354
92853,Balmain - spacious modern house with pool,407155,Nicole,,Leichhardt,-33.85999043395139,151.17584805638083,Entire home/apt,400,7,8,2016-01-08,0.09,1,350
103273,Apartment in North Bondi Village,172878,Christopher,,Waverley,-33.889228105243276,151.28399918459564,Entire home/apt,161,2,63,2018-11-30,0.68,1,13
104393,Beach Side 2brOpposite Bondi Beach,543277,Joseph,,Waverley,-33.888688979228554,151.27890781923597,Entire home/apt,150,6,77,2018-12-02,0.84,3,339
105938,Secret Beach Hideaway with Tropical Gardens,549372,Susanne,,Pittwater,-33.64963548935286,151.31692479486603,Entire home/apt,190,14,6,2018-02-16,0.23,1,306
108522,Surry Hills Modern Apartment Living,359706,Saysana,,Sydney,-33.885214533949785,151.20824602082482,Entire home/apt,251,2,12,2018-11-22,0.13,1,79
118658,Luxury apartment by the beach,599232,James,,Waverley,-33.89123548432219,151.28547062255822,Entire home/apt,226,60,5,2012-04-15,0.06,1,90
122699,Private studio with ensuite - Erskineville,284711,Isabel,,Sydney,-33.90215422064878,151.191190451346,Entire home/apt,89,6,52,2018-05-14,0.61,2,39
135691,Private room for your Bondi holiday,501973,Francine,,Waverley,-33.88949736006289,151.260447934503,Private room,90,3,32,2017-11-22,0.38,2,343
143247,Family house on North shore,695202,Donny,,Ku-Ring-Gai,-33.76026239932639,151.15097447161844,Private room,69,3,26,2016-10-08,0.30,2,359
143280,Garden Retreat Northern Beaches,695349,Family Team -,,Pittwater,-33.693999090364144,151.29036004345227,Entire home/apt,170,3,24,2018-01-04,0.61,4,327
143631,Room in Maroubra townhouse,696488,Anthony,,Randwick,-33.95130177287528,151.24480264876962,Private room,43,3,0,,,1,361
145732,Farm Stay/Kookaburra Cabin/ 15 min to Manly,704290,Bella,,Warringah,-33.74682782905435,151.24928752955577,Entire home/apt,155,7,9,2018-04-23,0.12,1,364
153444,"Potts Point: Lrg Mod Art Deco Apt, Walk Everywhere",733574,Tobias,,Sydney,-33.87272940652014,151.22378319457258,Entire home/apt,120,2,170,2018-11-22,2.22,4,17
196157,Beautiful peaceful room w/ensuite,954713,Gill,,Ku-Ring-Gai,-33.76635008598531,151.18442322686292,Private room,68,2,38,2017-09-06,0.43,5,253
196170,"Spacious 2-Bed Unit, 5 Min Walk to Bondi Beach",954703,Diana & Lorenzo,,Waverley,-33.89370048275471,151.2673805926077,Entire home/apt,199,5,3,2013-01-25,0.03,1,0
198170,Room In Light 2 Bedroom Apartment,967089,Carmel,,Marrickville,-33.9027003541596,151.16472231956712,Private room,48,3,31,2015-07-05,0.36,2,361
199669,Serenity Bondi Beach stay,975349,Susie,,Waverley,-33.889041422175715,151.27225348355202,Entire home/apt,400,7,3,2015-02-10,0.05,4,261
201698,3BR 2.5Bath Sleeps 13 -Close To CBD,981841,Kris,,Canterbury,-33.91061626942739,151.0967013311683,Entire home/apt,329,4,31,2018-10-31,0.52,1,344
210439,"Great Location, Paris End,  Potts Point Sydney",519412,Sarah,,Sydney,-33.86698522127571,151.22432537667078,Entire home/apt,120,3,13,2018-11-21,0.32,1,74
219030,The Beachhouse Eco Retreat,490291,Ingrid,,Waverley,-33.89394870013947,151.2660768648868,Entire home/apt,251,4,68,2018-11-17,0.81,2,242
222559,Woollahra/double bay1,433633,Ruth,,Woollahra,-33.887732111108384,151.24681654426882,Private room,93,3,37,2018-12-04,0.42,4,60
223221,"Harbour, shops, cafes, city 10 mins",1159541,Stefan,,Woollahra,-33.87571364043123,151.2411205338071,Private room,80,2,183,2018-11-25,2.11,1,158
225478,Le Soleil Beach Front Luxury Villa ,1174760,Christian,,Sutherland Shire,-34.08272853395156,151.15597704343747,Entire home/apt,580,2,12,2018-06-10,0.17,1,325
226202,Beachside Coogee 2 bed apartment,324467,Greg,,Randwick,-33.92559624497944,151.25579432336707,Entire home/apt,129,6,2,2014-08-11,0.02,1,0
230108,Opposite North Shore Train Station,695202,Donny,,Ku-Ring-Gai,-33.753445182009315,151.15355683301058,Entire home/apt,120,7,4,2015-05-01,0.05,2,357
232188,Best of Both Worlds North Narrabeen,695349,Family Team -,,Pittwater,-33.70016886412497,151.29354823844344,Entire home/apt,239,2,101,2018-12-07,1.32,4,275
232782,Loft Style Apartment in Sydney,1012161,Kirsteen,,Sydney,-33.89289140163371,151.20956284265952,Entire home/apt,251,2,20,2018-10-11,0.27,1,8
232793,Woollahra/double bay2,433633,Ruth,,Woollahra,-33.88633366987695,151.24466578826176,Private room,86,2,49,2018-11-15,0.57,4,59
232795,Woollahra/Double bay3,433633,Ruth,,Woollahra,-33.88759105606547,151.24624923980403,Private room,90,2,25,2018-10-06,0.29,4,60
236590,Modern Spacious  1bdrm Apartment !!,1240169,Margaret,,Blacktown,-33.70711099057549,150.9241672575294,Entire home/apt,120,3,32,2015-01-02,0.38,1,164
246383,Tamarama Penthouse,774227,Robert,,Waverley,-33.89851755125874,151.2710994903777,Entire home/apt,500,7,1,2011-11-25,0.01,1,30
249100,Rainforest garden apartment - deck,1305178,Judy,,North Sydney,-33.843734467061566,151.2147891146448,Private room,90,1,74,2018-08-17,0.86,2,254
249158,Loft Style Apartment minutes walk from the city,1305383,Beachside,,Sydney,-33.8760463087315,151.19708502008896,Entire home/apt,150,3,81,2018-11-25,0.96,1,30
249847,Manly Luxury 2 Bedroom Beachside Apartment 100 m2,1309479,Brigitte,,Manly,-33.799625935702174,151.28997697915625,Entire home/apt,450,14,0,,,1,31
249998,Private Art Deco Garden Apartment,1310233,Stefanie,,Waverley,-33.89414161222308,151.25137599394608,Entire home/apt,251,2,14,2017-08-13,0.17,1,0
252427,Sunny Oceanside Deco Apartment,1214840,Jenni,,Randwick,-33.92630064818772,151.2591159071635,Entire home/apt,130,4,12,2016-04-24,0.14,1,0
252452,Harbour Foreshore Shared Accommod,1324995,Robert,,Sydney,-33.85787152443587,151.2062482158792,Private room,96,5,17,2018-03-16,0.20,3,90
254109,Northern suburbs tranquility,1334759,Penne,,Hornsby,-33.72058967781451,151.06749287046844,Private room,75,3,12,2015-01-03,0.14,2,0
255059,"Modern Terrace, Cool Sydney Suburb",1340280,Sally,,Marrickville,-33.894356919896715,151.17774449691038,Entire home/apt,320,14,14,2017-01-02,0.17,1,345
255090,Your Own Private Studio Apartment ,1340540,Tommy,,Woollahra,-33.876033014423456,151.2341296466889,Entire home/apt,105,7,16,2017-09-09,0.19,1,175
256569,Sandstone Apartment - 350m to Bondi Beach,1347315,Riley,,Waverley,-33.895860769718304,151.27168430335885,Entire home/apt,136,2,392,2018-12-01,4.59,1,108
257847,SYDNEY BUSHLAND WATERFRONT HIDEAWAY,1356919,Laelie,,Sutherland Shire,-34.07966266844506,151.1257008797869,Entire home/apt,199,4,15,2018-10-01,0.51,1,332
259037,"Designer Apartment, next to CBD ",824724,Jane,,Sydney,-33.90188502967132,151.20587886819789,Entire home/apt,150,2,29,2016-07-26,0.34,1,0
259857,Stunning room + own bathroom + POOL,673365,Marie,,Marrickville,-33.89058491236964,151.17790827239162,Private room,109,1,114,2018-11-24,1.40,1,267
262192,Harbour Foreshore Shared Accomm,1324995,Robert,,Sydney,-33.8571993754237,151.20619224788467,Private room,145,5,20,2017-11-25,0.24,3,82
264513,Family Home on Willoughby Park.,1387801,Kristin,,Willoughby,-33.79381241186068,151.20262815639458,Entire home/apt,550,3,27,2018-07-11,0.33,1,358
264925,Stunning North Bondi Beach Pad,1389838,Sophie & Todd,,Waverley,-33.88695188564007,151.2784571671804,Entire home/apt,400,7,9,2018-03-04,0.11,1,354
271182,Design Oasis  in Newtown Close to Centre,140484,Bronwyn,,Sydney,-33.894341449359565,151.181958348689,Entire home/apt,143,2,15,2018-08-05,0.18,1,22
273477,A beautiful house near Bondi Beach!,1427173,Liora,,Waverley,-33.88077897714406,151.2725494327064,Entire home/apt,385,10,1,2015-01-07,0.02,1,327
273673,Amazing 1 Queen Apart by Ocean View,1431845,Sebastien,,Randwick,-33.94201276559268,151.24894959706972,Private room,125,1,0,,,1,364
274251,Bed and Breakfast stay-Merton Hotel,1433530,Gill,,Leichhardt,-33.86738787605688,151.174697412139,Entire home/apt,900,2,2,2015-10-05,0.02,1,350
275625,BEAUTIFUL COOGEE BEACH OCEAN VIEW,1440754,Lynda,,Randwick,-33.91970871585356,151.2443027573982,Private room,75,2,51,2018-03-22,0.60,1,346
276617,Potts Point Apt - Sunny with Views,1261500,Hugh,,Sydney,-33.872139180117124,151.22492908011924,Entire home/apt,140,2,242,2018-12-01,2.87,5,288
278132,Harbourside North Sydney. Room with Bathroom,451677,Anita,,North Sydney,-33.83325652645607,151.1893369178946,Private room,69,14,13,2016-01-25,0.15,2,296
279082,Beach House - Surf Beach is 100m,1455772,Kate,,Pittwater,-33.657609175158626,151.3222198755111,Entire home/apt,720,7,0,,,1,0
279869,Coogee Beach Holiday Apartment,1459337,Brian,,Randwick,-33.91645540332172,151.25649621100462,Entire home/apt,251,14,4,2014-12-01,0.06,2,173
283378,Wow factor Harbour & Fire works,1475640,Joe,,Sydney,-33.87734192008438,151.22094941026438,Private room,275,14,0,,,1,0
286924,Milsons Point Luxury Penthouse,91931192,Zara,,North Sydney,-33.84860704043657,151.21168872041446,Entire home/apt,1045,5,55,2017-03-28,0.74,19,102
287388,Two bedroom Terrace House in Alexandria,1495023,Jess,,Sydney,-33.898904159405966,151.1982403347296,Entire home/apt,199,3,3,2018-07-15,0.31,1,64
288671,Warehouse Loft Conversion,241834,Sonke,,Sydney,-33.87865955967892,151.21532481114482,Entire home/apt,220,3,17,2018-11-18,0.20,1,339
290146,"Bellevue Hill Designer, Beaches, City and Views",113874,Bondi Beach Holiday Homes,,Woollahra,-33.886755645707815,151.2586687775254,Entire home/apt,205,2,18,2018-11-28,0.31,53,239
290929,STYLISH 2 BED + PARKING PADDINGTON,1508328,Edwina,,Woollahra,-33.884720818473255,151.23686564075578,Entire home/apt,239,7,6,2013-03-12,0.08,1,0
291782,"BONDI  ROOM IN ARTY HOUSE,  WIFI",107189,Gab,,Waverley,-33.89444868684464,151.2533137643098,Private room,71,21,5,2017-08-31,0.07,1,32
292913,BONDI---PRIVATE ROOM. .GREAT APARTMENT CLOSE TO BB,1464461,Betty,,Waverley,-33.88966430463171,151.26276039421467,Private room,75,5,0,,,2,363
293951,SUNLIT BONDI HOLIDAY PAD,1520375,Carrie,,Waverley,-33.88984529589981,151.27039210250845,Entire home/apt,249,4,1,2018-01-02,0.09,1,0
295480,Sydney OlympicPark Green Comfy Home,1526109,Andrew,,Auburn,-33.83168493433644,151.06421472671693,Private room,84,1,121,2018-11-17,1.44,2,334
297633,Bushwalkers - near Gt North Walk ,1540160,Linda,,Hornsby,-33.69359048061351,151.09990879925735,Private room,60,2,16,2018-03-26,0.20,2,365
299749,Beachy Art Deco Apartment near Manly & 11k to CBD,1544990,Lucy,,Manly,-33.794938368440064,151.25963197530973,Entire home/apt,150,2,7,2018-02-17,0.53,2,0
300024,"Cosy room, great ocean view, 5 min to the beach",1547751,Valentine,,Randwick,-33.923224271376064,151.2504895662734,Private room,109,1,11,2016-01-17,0.16,2,0
304762,"Bondi Beach - bright, happy, haven",540270,Monica,,Waverley,-33.893332554365145,151.27181208939166,Entire home/apt,150,4,13,2018-09-15,0.17,1,51
304835,Darlinghurst Studio: Sky Oasis,209719,Angelique,,Sydney,-33.87664292413254,151.21726399174224,Entire home/apt,122,1,288,2018-11-20,3.48,1,17
307028,Newport Beach B&B With Great View,355522,Dennis,,Pittwater,-33.64868450532144,151.319960998497,Private room,161,1,142,2018-12-02,1.69,3,314
310414,Relax on the Terrace of a Darlinghurst Home,1596677,David,,Sydney,-33.881905649041435,151.21765691457307,Private room,150,3,104,2018-03-27,1.24,1,186
315059,Stylish Home In Great Location,1288103,Anna,,Sydney,-33.88156742776138,151.21563494468376,Private room,82,2,39,2018-03-03,0.48,2,0
318095,Hideaway in Sydney's North Shore,1636534,Carol,,Ku-Ring-Gai,-33.77934647086333,151.16351084319302,Private room,122,2,16,2018-02-19,0.20,1,360
318591,"Executive 3 BDRM House, Glebe Point",1634967,Kathy,,Sydney,-33.87743377893249,151.17925974428184,Entire home/apt,350,4,71,2018-01-21,0.87,1,0
322296,Writers' Retreat opp Opera House,369440,Felicity,,North Sydney,-33.85225889519891,151.21841603583067,Entire home/apt,145,6,54,2017-03-21,0.65,2,327
324918,"Erskineville art house, terrace in heart of Sydney",1596898,Gretchen,,Sydney,-33.89866673925275,151.18410178088806,Entire home/apt,251,4,6,2018-01-01,0.10,1,309
329096,Funky Victorian Terrace in Newtown,1437903,Ruth,,Marrickville,-33.896560689270665,151.1729593989179,Entire home/apt,199,7,1,2013-01-05,0.01,1,0
330547,Large room Sydney harbour views,1686302,Pierre,,Canada Bay,-33.85235762058947,151.15954998943144,Private room,73,3,31,2018-04-26,0.41,2,360
332960,270° Iconic Sydney Harbour View Balcony Room,1756420,Sydney Harbour,,Sydney,-33.86788146470364,151.19074001360707,Private room,108,1,24,2018-07-17,0.29,3,52
333002,270° Iconic Sydney Harbour View King Room,1756420,Sydney Harbour,,Sydney,-33.86558771915984,151.18996793581448,Private room,115,1,19,2018-07-13,0.23,3,52
334817,The eclectic Pacific in Balmain,891380,Miss V,,Leichhardt,-33.85826013445213,151.18618100133054,Entire home/apt,285,3,71,2018-12-01,1.01,1,115
340563,Resort Style minutes from the City,1727971,Gregory,,North Sydney,-33.83713535445459,151.19658863254344,Private room,119,3,6,2018-11-13,0.09,1,351
341640,Beachside bungalow incredible views,1733351,Tommy,,Waverley,-33.89807586920956,151.2722482126436,Entire home/apt,999,3,10,2013-09-09,0.14,2,365
348891,Ruby's Oasis on Bondi Beach! Hear the waves!,201611,Deborah,,Waverley,-33.88958496273785,151.27406115883218,Entire home/apt,150,4,22,2018-10-06,0.27,10,301
352147,"Sydneys garden suburb, bright & SC",1783493,Michelle,,The Hills Shire,-33.762750359734355,151.01316495263097,Private room,80,2,19,2018-11-15,0.25,1,295
355773,Townhouse in heart of Sydney/Dlg Hrbr/Chinatown,27184,Rebecca,,Sydney,-33.881702004237525,151.19538957779304,Entire home/apt,419,3,88,2018-11-10,1.09,1,168
360141,Massive Warehouse Loft Apartment,1821747,Scott,,Marrickville,-33.91884907221098,151.15260258282893,Entire home/apt,130,7,133,2018-11-21,1.62,2,87
361899,Serendipity in the Suburbs,1829259,Martha,,Hornsby,-33.73491859990139,151.07400132134964,Private room,75,1,35,2018-03-18,0.47,2,250
361912,Serendipity in the Suburbs,1829259,Martha,,Hornsby,-33.73553453659402,151.0751879000914,Private room,80,1,9,2018-01-30,0.40,2,250
363237,"1br, Parking, WiFi, Garden",1835730,Mina,,Ashfield,-33.889032931934764,151.139528680015,Entire home/apt,84,1,3,2014-10-31,0.06,1,0
363282,Lux pad in Potts Point,1835060,Sarah,,Sydney,-33.87109183430394,151.22398130869144,Entire home/apt,251,2,61,2018-11-30,0.77,1,361
365953,En suite room in gorgeous house!,1827246,Jen,,Mosman,-33.82329095027087,151.23678721464358,Private room,145,5,6,2017-01-14,0.19,1,348
366856,Bondi Studio - FAB DECOR AND STYLE,1852102,Ann And Mad,,Waverley,-33.893057507707894,151.26258082502096,Entire home/apt,174,2,94,2018-10-27,1.20,3,279
366857,Studio 8-  in the Heart of Bondi,1852102,Ann And Mad,,Waverley,-33.89296312600851,151.26276566409368,Entire home/apt,140,2,72,2018-12-04,1.23,3,271
368282,Lovely spacious 3 bedroom home ,1859504,Deborah,,Marrickville,-33.89743134189289,151.14234496416043,Entire home/apt,289,7,5,2015-08-02,0.08,1,0
368513,the best of Sydney's Shipwright Bay,1860248,Vic And  Lori,,City Of Kogarah,-33.99706177426483,151.1157297653276,Entire home/apt,168,3,45,2018-05-21,0.57,1,281
374069,Quiet Location Near Universities!,1882142,Paul,,Sydney,-33.88672781738173,151.19781443411927,Private room,84,2,129,2018-11-25,1.59,1,346
374072,Modern family house in Bondi Beach,1882151,Pascal,,Waverley,-33.886216250442295,151.2761009301155,Entire home/apt,375,7,12,2018-08-04,0.20,1,0
379498,EntireModern DesignerTerrace House,1817516,Micky,,Sydney,-33.88517199639205,151.2126384234236,Entire home/apt,220,2,31,2018-11-16,0.46,2,295
381091,Central + Surry Hills + Views + YAY,1905189,Michael,,Sydney,-33.882912003103044,151.21121426140365,Entire home/apt,150,2,292,2018-12-03,3.59,1,136
386997,Beautiful 2 Bedroom Apt Min Walk to the City,1936434,Thais,,Sydney,-33.88711916663435,151.19677629932855,Entire home/apt,210,7,135,2018-11-24,1.68,7,125
387130,Coogee Studio Apartment,1937140,Mary,,Randwick,-33.92061720980109,151.25293237645553,Entire home/apt,109,1,192,2018-12-01,2.61,1,64
388168,10 minutes to the city centre,1940858,Steven,,North Sydney,-33.83183583143984,151.22683250583955,Private room,57,3,60,2018-03-07,0.83,1,0
389876,Huge Sydney Apartment + Parking,1943399,Paul And Raymond,,Sydney,-33.88926107078935,151.20172177128666,Entire home/apt,136,1,443,2018-12-02,5.46,3,208
394428,Sydney City Apartment  Petersham,1971920,Kerri,,Marrickville,-33.89709826900714,151.15718392183516,Private room,150,1,64,2017-12-03,0.84,1,361
394550,"PRIME LOCATION, HYDE PARK & CBD, transport close",1972588,Jacq,,Sydney,-33.8766397963302,151.21312201352842,Private room,71,2,154,2018-11-21,2.31,1,72
396335,1 bedroom Flat in Newtown Sydney,1980038,Anitta,,Marrickville,-33.89691676036838,151.17856007230097,Entire home/apt,136,2,72,2018-11-28,1.14,2,0
397905,Fabulous Bondi Beach - Australia.,1987029,Janice,,Waverley,-33.88525927151647,151.2824301273679,Private room,100,2,8,2018-05-21,0.11,1,0
401004,Double bedroom Bondi Ocean View,168828,Marie,,Waverley,-33.87965579022726,151.2795380949022,Private room,53,5,2,2018-09-03,0.41,2,306
403909,Master Bedroom w Ensuite &Balcony,2013669,Claire,,Woollahra,-33.88631468817619,151.23080990758265,Private room,75,1,1,2016-01-04,0.03,1,0
405375,Stanmore - 2 comfy dble bedrooms,2020220,Mark,,Marrickville,-33.89382489961008,151.16439585766932,Entire home/apt,220,7,28,2018-08-25,0.52,1,344
405432,Quiet and Private Guest Suite a Short Drive to Manly Beach,2020595,Amanda & Darren,,Warringah,-33.76429370932411,151.25851674432027,Entire home/apt,100,1,280,2018-12-06,3.54,1,289
408200,Modern Cottage House in the West,1499005,Malou,,Blacktown,-33.78438875570536,150.84571342832677,Private room,50,3,23,2018-06-15,0.29,3,365
408202,Modern Cottage House in the West,1499005,Malou,,Blacktown,-33.78337782225782,150.8467469143903,Private room,46,3,11,2016-05-01,0.14,3,365
408330,Bondi Beach -  Beachfront Stunner,1911628,Cathy,,Waverley,-33.888949324625365,151.27665980136086,Entire home/apt,239,2,51,2018-08-12,0.64,2,300
409800,Stylish/ Central Sydney Apartment,304907,Paul,,Woollahra,-33.88790886270345,151.23274015303807,Entire home/apt,100,14,2,2017-05-31,0.04,1,0
410073,Sydney Opera House-20min walk,2041405,Tabitha And Alastair,,Sydney,-33.870381109528,151.22046514935872,Entire home/apt,172,3,159,2018-11-16,2.01,2,264
411828,Private garden studio with bathroom,1391360,Jo,,Willoughby,-33.80341195712466,151.15990104962853,Private room,75,2,96,2018-11-18,1.22,1,344
412078,Waterfront Collective: Turtle Run .,451946,Rob,,Pittwater,-33.64274762691678,151.279171400899,Entire home/apt,779,2,3,2018-01-01,0.08,3,155
412079,Turtle Run: Waterfront Retreat.,451946,Rob,,Pittwater,-33.64349253381891,151.27736717317586,Entire home/apt,360,2,10,2017-01-26,0.15,3,216
413968,*FULLY FURNISHED ROOM*,2059690,Deyaco,,Parramatta,-33.82634130815927,151.0184277652171,Private room,40,168,0,,,1,358
418136,Sunny Private Unit near Manly Beach,2079008,Jenny,,Warringah,-33.76849972308411,151.25855703719768,Entire home/apt,105,3,34,2018-11-06,0.43,1,289
418480,Ocean Views Bondi Tamarama beaches ,228864,Craig,,Waverley,-33.89917767633537,151.27226461541707,Entire home/apt,186,2,95,2018-12-03,1.33,3,245
421997,Leafy Studio with Tranquil Pittwater View,2098455,Leigh & Phillip,,Pittwater,-33.64085346075093,151.3202284465276,Entire home/apt,190,2,89,2018-11-28,1.23,1,339
426398,"""Garden Studio Apartment"" Paddington Sydney Aust",2052335,Keith,,Woollahra,-33.88104753744001,151.2229593968852,Entire home/apt,105,1,158,2018-11-17,2.14,1,327
426879,Relax in a Tastefully Decorated East Balmain House,2122483,Anna,,Leichhardt,-33.85888527402862,151.1919931187431,Private room,109,2,116,2018-11-23,1.47,2,29
429733,Sunny airy flat near beach and city,606003,Jo,,Woollahra,-33.885327820067175,151.26366884376563,Entire home/apt,150,7,1,2015-12-08,0.03,1,0
430526,Sydney beach side family retreat,2140264,Craig,,Randwick,-33.911696953565375,151.26152792092262,Entire home/apt,750,7,5,2018-01-07,0.07,1,96
432136,Bondi Beach 2 Bed with Ocean Views!,2149047,Nicola,,Waverley,-33.894681509519195,151.26994968396062,Entire home/apt,251,4,20,2018-01-27,0.28,1,0
435912,Light and Airy Paddington Perfection,226262,Dani,,Woollahra,-33.88280877591094,151.22341843209708,Entire home/apt,140,2,125,2018-11-18,2.35,2,34
440213,Prime harbourside attic suite,1864730,Maggie,,Woollahra,-33.873549257050406,151.23458035939143,Entire home/apt,195,2,0,,,1,78
444977,"Cherrybrook, Sydney",2210950,Robert,,Hornsby,-33.722537492523685,151.05119233498928,Private room,177,1,32,2016-12-29,0.42,2,364
